;Unnamed: 0;author;created_at;favorite_count;view_count;retweet_count;reply_count;full_text;keyword;favorite_count_previous;retweet_count_previous;real_news
10;10;Agenzia_ansa;Mon Sep 02 08:49:13 +0000 2024;12;7242;3;1;Nel secondo trimestre del 2024 il prodotto interno lordo, corretto per gli effetti di calendario e destagionalizzato, è cresciuto dello 0,2% rispetto al trimestre precedente e dello 0,9% nei confronti del secondo trimestre del 2023. E' quanto afferma l'Istat. #ANSA;secondo,trimestre,prodotto,interno,lordo,corretto,effetti,calendario,destagionalizzato,trimestre,precedente,confronti,trimestre;11;1;"Crescita PIL Italia"
11;11;Agenzia_ansa;Mon Sep 02 08:20:29 +0000 2024;19;6925;3;0;Un debole campo elettrico avvolge la Terra VIDEO. Fondamentale per il nostro pianeta tanto quanto il campo gravitazionale e il campo magnetico terrestri. #ANSA https://t.co/6OaHHKOzt6;debole,campo,elettrico,terra,video,fondamentale,pianeta,campo,gravitazionale,campo,magnetico,terrestri,ansa;13;0;"Debole campo elettrico avvolge Terra"
12;12;Agenzia_ansa;Mon Sep 02 08:16:09 +0000 2024;29;7549;8;1;Ragazza denuncia una violenza sessuale di gruppo, tre in carcere. Vittima una 23enne, gli abusi nelle campagne del Tarantino. #ANSA https://t.co/RtLva37bzE;denuncia,violenza,sessuale,gruppo,carcere,vittima,23enne,abusi,campagne,tarantino;4;1;"Ragazza denuncia una violenza sessuale di gruppo"
13;13;Agenzia_ansa;Mon Sep 02 07:00:01 +0000 2024;12;6476;3;1;VENEZIA 81 | Il programma del 2 settembre alla Mostra del Cinema. In concorso Almodovar e Delpero. Leone d'oro alla carriera a Weir. Premio Cartier a Lelouc. #ANSA https://t.co/yP3Rjsynl3;programma,settembre,cinema,concorso,leone,oro,carriera,premio,cartier,lelouc,ansa;6;2;"Programma 2 settembre Venezia 81"
14;14;Agenzia_ansa;Mon Sep 02 06:43:08 +0000 2024;40;7613;16;2;Nelida Sanchez, militante dei diritti umani in Venezuela, è stata arrestata e rinchiusa nell'Elicoide, la tristemente celebre sede dei servizi del governo di Nicolas Maduro. #ANSA  https://t.co/rcwWGYVsLo;nelida,sanchez,diritti,umani,rinchiusa,elicoide,celebre,sede,servizi,governo,nicolas,maduro,ansa;28;2;"Proteste Venezuela"
15;15;Agenzia_ansa;Mon Sep 02 06:31:14 +0000 2024;42;9433;14;30;MEDIO ORIENTE | Raid aereo su una scuola di Gaza, almeno 11 morti. Israele sostiene che da lì funzionava un comando di Hamas, la Protezione civile che c'erano solo sfollati. #ANSA  https://t.co/7ETAkodh5Y;medio,oriente,raid,aereo,scuola,morti,protezione,civile,ansa;26;5;"Raid israeliano su Gaza"
16;16;repubblica;Mon Sep 02 11:38:08 +0000 2024;4;2463;0;3;Terzo mandato, per la Lega “la battaglia continua”: avanti con Zaia per ‘blindare’ il Veneto ma il fronte dei governatori a favore non c’è più https://t.co/Mq504W9e0B;terzo,mandato,battaglia,zaia,fronte,governatori,favore;2;0;"Terzo mandato Zaia"
17;18;repubblica;Mon Sep 02 11:33:33 +0000 2024;9;2695;0;2;Tom Hanks contro l’intelligenza artificiale: “Mi hanno clonato per propagandare cure mediche” https://t.co/vhRQ0IKGJ9;lintelligenza,artificiale,cure,mediche;1;0;"Tom Hanks contro l'IA"
18;20;repubblica;Mon Sep 02 11:29:07 +0000 2024;3;2650;0;2;Sulla Swiss sedili troppo pesanti per far star comodi i passeggeri di prima classe, aerei sbilanciati. E la soluzione fa volare la CO2 https://t.co/R5AzMVgfLM;swiss,sedili,pesanti,comodi,passeggeri,classe,aerei,soluzione;2;0;"Swiss aerei sbilanciati"
19;21;repubblica;Mon Sep 02 11:23:37 +0000 2024;6;2944;2;0;Venezia, Regata storica, cade l’ultimo tabù: per la prima volta una donna porta il dono alla Madonna  https://t.co/fUOwUl1AoN;regata,storica,lultimo,tabù,volta,donna;1;1;"Regata storica Venezia"
20;23;repubblica;Mon Sep 02 11:14:08 +0000 2024;4;3276;0;3;Leclerc ma non solo: Sainz che fa squadra e strategia perfetta. E adesso la Ferrari può pensare in grande https://t.co/iE0mwpnT7b;sainz,squadra,strategia,perfetta,ferrari,grande;2;0;"Vittoria Leclerc a Monza"
21;25;repubblica;Mon Sep 02 11:04:33 +0000 2024;1;3185;0;0;Tende da sole o pergole bioclimatiche: ultimi mesi per proteggersi dal caldo con il bonus al 50% https://t.co/0EjZD78b47;sole,pergole,bioclimatiche,ultimi,mesi,caldo;0;0;"Consigli per le temperature alte"
22;26;repubblica;Mon Sep 02 10:16:35 +0000 2024;2;4005;0;0;Il tesoro di Temu: in cassa ha 38 miliardi di dollari ma lascia a secco gli azionisti https://t.co/FznAy0BhgU;tesoro,temu,miliardi,dollari,secco,azionisti;2;0;"Tesoro di Temu"
23;27;repubblica;Mon Sep 02 10:11:36 +0000 2024;2;3774;0;2;Aerei, più pacchetti di voli low cost che offerte “all you can fly” https://t.co/ZDuh9mLS8d;aerei,pacchetti,voli,cost,offerte,fly;2;0;"Offerte voli"
24;29;repubblica;Mon Sep 02 09:57:05 +0000 2024;7;4545;0;15;Nuovo procedimento disciplinare per Vannacci. La replica del generale: “Sono sereno e convinto delle correttezza delle mie azioni” https://t.co/86bBwdO937;nuovo,procedimento,vannacci,replica,generale,convinto,correttezza,azioni;6;0;"Nuovo procedimento disciplinare per Vannacci"
25;30;repubblica;Mon Sep 02 09:52:33 +0000 2024;18;6202;9;20;Friuli, sconfigge un tumore e prenota la visita di controllo, prima disponibilità: fra cinque anni  https://t.co/cjI4GLE4PG;friuli,tumore,prenota,visita,controllo,prima,disponibilità,anni;12;5;"Disservizi sanità pubblica"
26;31;repubblica;Mon Sep 02 09:47:35 +0000 2024;4;3648;1;0;Bellocchio a Venezia 81: “La prima volta fu un no a ‘I pugni in tasca’, volevano far vincere Visconti” https://t.co/bBEWKq0LcC;bellocchio,prima,volta,pugni,tasca,visconti;1;1;"Bellocchio Venezia 81"
27;32;repubblica;Mon Sep 02 09:38:09 +0000 2024;19;4122;2;0;Paralimpiadi, Veronica Yoko Plebani argento nel triathlon https://t.co/ykRIrkZb63;paralimpiadi,yoko,plebani,triathlon;16;1; "Paralimpiadi Parigi 2024: Yoko Plebani"
28;34;repubblica;Mon Sep 02 09:14:13 +0000 2024;3;3644;1;0;Protesta animalisti a Venezia. L’esperto: “Uccidere gli orsi è una decisione estrema ma va messa in conto per evitare situazioni rischiose” https://t.co/slE1mOcm07;animalisti,lesperto,decisione,estrema,conto,situazioni,rischiose;1;0;"Proteste animalisti Venezia"
29;36;Corriere;Mon Sep 02 11:21:16 +0000 2024;10;4082;1;20;Valentina Petrillo in semifinale nei 400: «Non dovete avere paura di me, lotto contro i pregiudizi su noi transessuali» https://t.co/zQc6PhqOzi;semifinale,paura,pregiudizi,transessuali;2;1;"Paralimpiadi Parigi 2024: Valentina Petrillo"
30;37;Corriere;Mon Sep 02 11:16:17 +0000 2024;0;2812;0;0;Murdoch vuole Rightmove, il maggiore portale immobiliare britannico: Rea valuta l’Opa https://t.co/mIwBLgOSmZ;murdoch,maggiore,portale,britannico;0;0;"Murdoch vuole Rightmove"
31;38;Corriere;Mon Sep 02 11:11:26 +0000 2024;9;3172;0;0;Paralimpiadi, Alessandro Ossola e la proposta di matrimonio in diretta https://t.co/fLfz3McRrW;paralimpiadi,alessandro,ossola,matrimonio,diretta;2;0;"Paralimpiadi Parigi 2024: Alessandro Ossola"
32;39;Corriere;Mon Sep 02 11:06:35 +0000 2024;9;3536;0;2;Charles Leclerc, il bacio con la fidanzata Alexandra dopo la vittoria. Chi è la compagna da 1 milione di follower https://t.co/fLUARTfiWa;leclerc,bacio,alexandra,vittoria,milione,follower;3;0;"Vittoria Leclerc a Monza"
33;40;Corriere;Mon Sep 02 11:01:59 +0000 2024;6;3479;0;1;Teo Teocoli su Celentano: «Eravamo amicissimi, da cinque anni non mi risponde più al telefono» https://t.co/V4rcHXAVvG;teocoli,amicissimi,anni,telefono;0;0;"Teo Teocoli su Celentano:"
34;41;Corriere;Mon Sep 02 10:15:49 +0000 2024;63;10035;16;31;Non dormono, non si concentrano, stanno poco in società: così lo smartphone ha reso depressi e ansiosi i nostri adolescenti https://t.co/P557qkQ95U https://t.co/dVXv6iwZBL;società,smartphone,depressi,ansiosi,adolescenti;15;5;"Effetto smartphone su adolescenti"
35;42;Corriere;Mon Sep 02 10:11:22 +0000 2024;7;3440;3;2;Venduta per 17 milioni di dollari la prima Ferrari 250 GT California prodotta. Le foto https://t.co/0vT2qkX0P2;milioni,dollari,ferrari,gt,foto;4;2;"Venduta prima Ferrari 250 GT California prodotta"
36;43;Corriere;Mon Sep 02 10:07:51 +0000 2024;0;3339;0;2;Paderno, l'interrogatorio del 17enne che ha sterminato la famiglia: «Vivo un malessere»​La confessione: «Ci pensavo da un po'» https://t.co/mvFRwwoby6;paderno,interrogatorio,17enne,famiglia,vivo,confessione;0;0;""Strage in famiglia Paderno Mugnano""
37;44;Corriere;Mon Sep 02 10:03:57 +0000 2024;3;3673;1;1;Francia, droga la moglie per 10 anni e contatta uomini per abusare di lei: via al processo per gli stupri di Mazan https://t.co/yOQ114c6Ze;droga,moglie,anni,uomini,via,processo;2;1;"Stupro Mazan"
38;45;Corriere;Mon Sep 02 10:00:51 +0000 2024;33;7506;8;14;Paolo Crepet sulla strage di Paderno Dugnano: «Famiglia perfetta? C'erano per forza segnali, che nessuno ha visto. Questo deve spaventare» https://t.co/rCbGBfrEAI https://t.co/nqYwf9sm5c;paderno,famiglia,perfetta,forza,segnali;4;8;"Strage in famiglia Paderno Mugnano"
39;46;Corriere;Mon Sep 02 09:16:53 +0000 2024;3;4607;2;1;La rapina choc a Neres, sospetti sulla banda del rione TraianoE la moglie si «scusa» https://t.co/dygfuH5IzK;rapina,sospetti,banda,rione,moglie,scusa;0;0;"Rapina Neres"
40;47;Corriere;Mon Sep 02 09:14:37 +0000 2024;0;3645;1;1;Chi è Ines de Ramon, la fidanzata di Brad Pitt: il brand di gioielli, l'ex marito, la laurea in economia a Ginevra https://t.co/gDW8XfAqgJ;brad,pitt,ex,marito,laurea,economia,ginevra;0;1;"Fidanzata Brad Pitt"
41;48;Corriere;Mon Sep 02 09:10:11 +0000 2024;9;4565;5;5;Stretta sul credito: mancano 60 miliardi. Tassi e incertezze: perché l’Italia frena https://t.co/XlSH0M1Dwo;stretta,credito,miliardi,tassi,incertezze,litalia;4;3;"Stretta credito Italia"
42;49;Corriere;Mon Sep 02 09:05:43 +0000 2024;16;4345;2;12;Ultradestra prima in Turingia, Höcke: «Pronti a governare» https://t.co/sqa8MEJQDx;ultradestra,prima,turingia,höcke,pronti;0;1;"Ultradestra prima in Turingia"
43;50;Corriere;Mon Sep 02 09:00:24 +0000 2024;7;3643;1;0;«Mi ha stordito con i farmaci e mi ha rubato i risparmi di una vita». Medico leccese denuncia la figlia https://t.co/Ln3RUpGWHo https://t.co/H722KSNk61;farmaci,rubato,risparmi,vita,medico,leccese,denuncia,figlia;2;1;"Medico leccese denuncia la figlia"
44;51;Corriere;Mon Sep 02 08:17:39 +0000 2024;58;6681;4;6;Gran Premio dell'inclusione Leclerc vince e raggiunge i ragazzi autistici di PizzAut https://t.co/W0a80a3zNW;gran,premio,inclusione,leclerc,ragazzi,autistici;3;0;"Vittoria Leclerc a Monza"
45;52;Corriere;Mon Sep 02 08:13:24 +0000 2024;6;4161;1;4;È morto Obi Ndefo, attore di «Dawson's Creek»Aveva 51 anni https://t.co/Qi2RQWq4dF;ndefo,attore,anni;6;1;"Morte Obi Ndefo"
46;53;Corriere;Mon Sep 02 08:09:16 +0000 2024;53;21610;5;92;A Brescia il raduno delle famiglie numerose: «Non fateci pagare le tasse» https://t.co/WWJvXaRznO https://t.co/i2zOOr9CpL;brescia,raduno,famiglie,numerose,fateci,tasse;21;0;"Appello famiglie numerose Brescia"
47;54;Corriere;Mon Sep 02 08:05:09 +0000 2024;3;6993;1;9;Sardegna, la turista milanese 86enne: «Ho pagato 4kg di salumi e formaggi 1155 euro, sono stata raggirata (in casa mia)» https://t.co/2dZ7SiOJwT https://t.co/HzWSvYr3nz;turista,milanese,kg,salumi,formaggi,euro,casa;0;0;"Turista milanese raggirata in Sardegna"
48;55;Corriere;Mon Sep 02 08:00:49 +0000 2024;11;4743;3;3;Boccia, ecco la foto che smentisce Sangiuliano: la «consigliera» al tavolo nel meeting di Ferragosto​Le «tracce» con il ministro https://t.co/P8ovMi9v9X;boccia,foto,consigliera,meeting,ferragostole;9;2;"Caso Boccia-Sangiuliano"
