;date;text;news
74;2022-11-20 23:33:02+00:00;@England @wembleystadium Come on England ♥️♥️♥️♥️♥️♥️♥️ Bring it home 🙌 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿 #FIFAWorldCup #WorldCup2022 #QatarWorldCup2022 #ThreeLions #England;"WorldCup2022"
9;2022-11-20 23:56:08+00:00;"#WorldCup2022 @ITVSport &amp; @LFSYSTEMMUSIC go together so well ‘Hungry For Your Love’🫶 ⚽️👌";"WorldCup2022"
32;2022-11-20 23:48:47+00:00;What happened in Turkish football today?#TurkishNationalTeam #CuneytCakir #WorldCup2022 https://t.co/2ctXYjpWMK https://t.co/e5gmUqf6sn;"WorldCup2022"
0;2022-11-20 23:59:21+00:00;What are we drinking today @TucanTribe  @MadBears_  @lkinc_algo  @al_goanna   #WorldCup2022 https://t.co/Oga3TzvG5h;"WorldCup2022"
51;2022-11-20 23:42:17+00:00;Video: #PresidentBiden wishes #USMNT good luck https://t.co/Kfb9OObjf3 #WorldCup #WorldCup2022 #Qatar2022 #Qatar;"WorldCup2022"
15;2022-11-20 23:53:44+00:00;What is your World Cup prediction? We have 🇩🇪 über 🇧🇪 in the Final. #GER #BEL #WorldCup2022;"WorldCup2022"
72;2022-11-20 23:34:48+00:00;@TSN_Sports Will those of us in Canada who can't watch #WorldCup2022 games live be able to access them on demand through TSN?;"WorldCup2022"
93;2022-11-20 23:28:24+00:00;I didn’t know jungkook was about to perform today. When I saw him on live I was shocked 😭🤣🤣 #WorldCup #Qatar2022 #WorldCup2022 #JUNGKOOKxFIFA #FIFAWorldCup2022;"WorldCup2022"
77;2022-11-20 23:31:57+00:00;I'm in on the Gaffer's #WorldCup2022 Sweepstakes where supporting an underdog is a winning strategy! ⚽ From @MartianPLeague #GaffersUnderdogs https://t.co/G61jlvnKYT;"WorldCup2022"
65;2022-11-20 23:37:32+00:00;This celebration is breaking controllers in Fifa 🔥 Best world cup opening ever!!  #SouthAfrica2010 #Qatar2022 #WorldCup2022 https://t.co/3kduwSuhfT;"WorldCup2022"
58;2022-11-20 23:39:24+00:00;Hey @MarinaMarraco Can you feel the intensity of #WorldCup2022 in here? Are the @WashWizards having a good time at @CapitalOneArena?;"WorldCup2022"
46;2022-11-20 23:42:49+00:00;World Cup 2022: Ecuador defeats Qatar 2-0. #WorldCup #WorldCup2022 https://t.co/gZuTLPP2es;"WorldCup2022"
24;2022-11-20 23:50:22+00:00;Exciting things are happening at #Sporten headquarters🎉🎈🎊.   Don’t miss the opportunity and see you at the #WorldCup2022  ⚽️!!!!  #FIFAWorldCupQatar2022 #QatarWorldCup2022 #Airdrop $BALL https://t.co/kRkOd93baJ;"WorldCup2022"
71;2022-11-20 23:36:12+00:00;"Ian Wright: ""I'd take the fine for that [wearing the armband]"".  And a yellow card, Ian?  Nah. Lol.  #ITVFootball #WorldCup #WorldCup2022";"WorldCup2022"
95;2022-11-20 23:27:13+00:00;@GBNEWS The complete unsuitability of #Qatar to host #WorldCup2022 is only part of the problem. There are also unaswered questions as to why it was awarded to them and following the removal of the profoundly suspect Blatter, why the current leadership allowed it to continue.;"WorldCup2022"
5;2022-11-20 23:57:32+00:00;"And like, will the mexican fans be able to scream ""PUTO"" now? Or is that too homophobic for qatar? @FIFAWorldCup #WorldCup2022";"WorldCup2022"
27;2023-06-09 16:09:28+00:00;Iran - Zahedan March and protests of the people of Zahedan They chant against the rule of mullahs. #Iran #IranProtests #IranRevolution #No2ShahNo2Mullahs https://t.co/BHmT1FsO6c;"Iran Revolution"
48;2023-06-10 08:21:20+00:00;Watch and judge how #IranRevolution has produced a dual language among state officials #FreeIran2023 #No2ShahNo2Mullahs https://t.co/UZnuFSLTmj;"Iran Revolution"
0;2023-06-10 08:57:07+00:00;The spirit of democracy and freedom is alive in #Zahedan! The protestors, unfazed by 36 weeks of demonstrations, proudly wave their sign: 'Democratic Coalition for a Free Iran.' Let's amplify their voices and support their cause. #Iran #Iranprotests @UNHumanRights https://t.co/Ed25ZkzxUB;"Iran Revolution"
95;2023-06-10 00:19:44+00:00;16-year-old Farhad Navai, who was arrested in connection with the recent protests in Mahabad in November 2022, has been kept without any trial in a detention center since his arrest. It was said he was tortured to obtain forced confession.#IranRevolution  #فرهاد_نوایی https://t.co/mmoahrObDK;"Iran Revolution"
35;2023-06-09 12:57:57+00:00;#IranProtests at a Glance—Wednesday, June 7, 2023 #Iran  https://t.co/8d94lqCmuI;"Iran Revolution"
61;2023-06-10 06:15:00+00:00;"June 9 - Tehran, #Iran  Locals in the capital's Shahrak-e Bagheri district were chanting anti-regime slogans, including: ""Down with the dictator!"" referring to regime Supreme Leader Ali Khamenei. #IranRevolution  https://t.co/Jug7TUCddP";"Iran Revolution"
85;2023-06-10 03:52:06+00:00;"""Iran - Urmia The Attack of Defiant Youths on the Judiciary  In response to the executions and massacres of the criminal mullahs regime. This shows the hatred of the people for the presence of Ebrahim Raisi the perpetrator of the #1988Massacre in #Azerbaijan #Iran #IranRevolution https://t.co/mcJokeo6qE";"Iran Revolution"
9;2023-06-10 05:25:31+00:00;@BarDekker @Etya73 @Marisayescas @paulett20997141 @OneMoreGoodMan @robertjunebug @NatalieMae31 @MasterOfPsy @Wittr3Christina @AtaLossGirl1 @MrScottLads @mcspocky @Norwegian_Lars @JoanDay4878 @AnaGVillarreal1 @NamedDuda @HarrisonKrank @ITSPOSSIBLE_Rod @ClarityInView @iran_policy @datsyuklover @alaskarebel @MariaSTsehai @PINK1963DSW @LilituNoirrr @DrJeffersnBoggs 𝐀 𝐐𝐮𝐢𝐜𝐤 𝐋𝐨𝐨𝐤 𝐚𝐭 #IranProtests  Friday, June 9, 2023 Daily report from the National Council of Resistance of Iran, NCRI—@iran_policy on the past day's happenings.  #FreeIran2023 #IranRevoIution  https://t.co/lvg9z52lk3;"Iran Revolution"
75;2023-06-10 05:08:02+00:00;@IranPanoramaNew Brave guys! #FreeIran2023  #IranRevolution;"Iran Revolution"
37;2023-06-09 04:54:52+00:00;This awesome comic deserves more attention!   #IranProtests #japanbooks #aiartcommunity  https://t.co/J09nZrT0IC https://t.co/rRP9cpoahZ;"Iran Revolution"
15;2023-06-10 04:39:18+00:00;"#IranProtests June 9 - Zahedan, southeast #Iran   Demonstrators are in the streets and chanting:  ""We swear on the blood of our compatriots that we will stand to the end!""  #IranRevolution  #FreeIran2023 https://t.co/l0o1CpcOHQ";"Iran Revolution"
8;2023-06-10 05:26:43+00:00;@Shootnick_14 @mariamposts @layal_dagher @KhalilovaGulsum @EmmaArkell7 @arobitaille_ @LiseDenis_ @MaucourantNada @catherine_dib @mrsorokaa @AsamiTerajima @katrinedesautel @DMokryk @LeonieKij @Alhazzani_Amal @SarahAshtonLV @SGhoussoub @KShoshiashvili @nic_waldman @ChanelRion @Aya_Isk @NikaMelkozerova @IuliiaMendel @olgatokariuk @liliebayer @robindellacorte @LarissaAounSky @LOS_Fisher @KarimaBrikh @Cloutiec @tamcohen @caroleugenepark @CaraMcK @GuardianHeather @BBCYaldaHakim @paulwaugh @Stone_SkyNews @MALussier @juliansher @lucianaberger @johnrobertsFox @AliceTidey @anderslindberg @BretBaier @paulkrugman @ShippersUnbound @jessicaelgot @STRUANSTEVENSON @iran_policy 🔸#𝐈𝐫𝐚𝐧𝐏𝐫𝐨𝐭𝐞𝐬𝐭𝐬 𝐚𝐭 𝐚 𝐆𝐥𝐚𝐧𝐜𝐞  Friday, June 9, 2023 Briefing News of the National Council of Resistance of Iran (NCRI—@iran_policy). For Your Information     #FreeIran2023 #IranRevoIution  https://t.co/fMqz9Uusl7;"Iran Revolution"
51;2023-06-10 07:46:13+00:00;"#Maryam_Rajvi  ""Execution in Iran leads to increased social and political tensions and reflects a lack of democracy and respect for human rights.  #IranRevolution #FreeIran2023 #FreeIran10PointPlan https://t.co/SWxYBOayye";"Iran Revolution"
32;2023-06-09 13:20:29+00:00;NCRI Commentary | Endurance as the Litmus Test: Differentiating Genuine Resistance from Pretense  #IranRevolution, #IranProtests, https://t.co/2jInXwSuko https://t.co/mPz6IKI6sc;"Iran Revolution"
42;2023-06-10 09:26:04+00:00;#FreeIran2023  Free Iran March  For a secular Democratic Republic in Iran 1 July 2023 Paris #IranRevolution  #IStandWithMaryamRajavi https://t.co/FMuOKQS0Ts;"Iran Revolution"
31;2023-06-09 13:44:06+00:00;NCRI Commentary | Endurance as the Litmus Test: Differentiating Genuine Resistance from Pretense  #IranRevolution, #IranProtests, https://t.co/2jInXwSuko https://t.co/mPz6IKI6sc;"Iran Revolution"
45;2023-06-10 08:40:54+00:00;#Iran-Urmia The attack of rebel youths on the Judiciary  In response to the executions and massacres of the criminal mullahs' regime. This shows the hatred of the people for the presence of Ebrahim Raisi, the perpetrator of the #1988Massacre in Azerbaijan #Iran #IranRevolution https://t.co/4Pvt82TzM4;"Iran Revolution"
39;2023-06-10 09:33:45+00:00;#MaryamRajavi : These days, an industry of concocting phony alternatives has become prevalent in the political arena, of course copying and pasting aspects from others. 1/2 #IranRevolution  #FreeIran2023 https://t.co/yhFDzaUrZd;"Iran Revolution"
18;2023-06-10 00:18:08+00:00;@IRIMFA_EN you are trash and vile  also @UN what are you doing to combat these atrocities? #SaveIran #FreeIran #FreedomForIran #IranProtests #IranRevolution  #WomanLifeFreedom https://t.co/XNctcPdJNl;"Iran Revolution"
70;2023-06-10 05:20:15+00:00;@JeremyE0815 @Xentricityy @CNN The US government has always supported terrorist mullahs in Iran to kill Iranian people. It's a shame. Iranians are under 100% dictatorship and want mullahs to go. Please STOP supporting mullahs.  DONT NEGOTIATE WITH THEM. #MahsaAmini #IRGCterrorists  #IranRevolution;"Iran Revolution"
48;2020-12-18 11:11:32;As @EMA_News gets set to approve #PfizerBioNTech #vaccine, roll-out preparations pick up pace across #EU. Meanwhile… https://t.co/uWiv1SypWg;"Vaccination"
45;2020-12-20 08:15:20;"When The #CovidVaccine  Poisons Enough Of The LEFT With ""Side Effects"" Like #BellsPalsy Or ☠️ As They Are Flocking… https://t.co/mGNvf2XT8i";"Vaccination"
89;2020-12-14 18:52:57;Canadian PM Justin Trudeau announced the arrival of the first of the vaccine vials in the country. #BioNTech #PfizerBioNTech;"Vaccination"
66;2020-12-14 21:11:19;ICU nurse Sandra Lindsay said she was 'very proud,' after becoming one of the first Americans to receive the Pfizer… https://t.co/5JY1g7whhV;"Vaccination"
73;2020-12-14 20:14:40;@PattyHajdu Would  you take the vaccine? Listen to the expert 💥💥  #PfizerBioNTech = Untested… https://t.co/ho7JOADrIV;"Vaccination"
56;2020-12-14 22:41:20;"Such a great feeling. A big thank you to all the healthcare professionals; scientists, nurses, doctors, caregivers.… https://t.co/tR4DUVl5Ud";"Vaccination"
58;2020-12-14 22:25:26;Getting my first dose of the #PfizerBioNTech #CovidVaccine next weekend and seeing this #UNBOXING just made it so r… https://t.co/Y6Bqj5KRFR;"Vaccination"
55;2020-12-14 22:55:26;Concerned about the side effects of the #PfizerBioNTech #COVID19 vaccine?  Check out my recap 👇🏼 https://t.co/P6yfRwS3Fq;"Vaccination"
76;2020-12-14 19:59:11;Surprised to learn those with autoimmune conditions or otherwise immunosuppressed are advised not to receive the… https://t.co/d5C5MbwsvB;"Vaccination"
52;2020-12-14 23:14:56;Building on last week’s ‘trial’ run and extending our vaccination 💉 programme this week . So much effort going on b… https://t.co/Wsaup80aFs;"Vaccination"
67;2020-12-14 21:02:21;@FarAndWide @erinotoole @MichelleRempel :: Screenshot #2 of that #QP exchange ::  Unfortunately, Hansard does not c… https://t.co/e4IVaggplj;"Vaccination"
97;2020-12-14 18:03:44;Make vaccine companies liable again... #PfizerBioNTech  #pfizer #johnsonandtoxin #vaccinesarepoison… https://t.co/gJC3BMYrKm;"Vaccination"
16;2020-12-12 15:59:32;"UPDATED: #YellowFever &amp; #COVID19 #ImmunityPassports - Part Two  #SARSCoV2 #PfizerBioNtech #Britain #December… https://t.co/qKT7Rst9aW";"Vaccination"
88;2020-12-14 19:05:26;KFDM’s/FOX 4’s @THEPAIGEREPORT1 is at Baptist hospital getting a first hand look at where the Pfizer COVID-19 vacci… https://t.co/aPCqxD5wIA;"Vaccination"
53;2020-12-14 23:13:35;The first COVID-19 vaccine doses have arrived in Oregon.    Watch #MorningsontheDove from 6am -9am tomorrow for det… https://t.co/eNy64xR7KX;"Vaccination"
72;2020-12-14 20:15:05;The first Ontarian was vaccinated just minutes later. A PSW, Anita Quidangen in Toronto.  #PfizerBioNTech… https://t.co/VX9cisW1kf;"Vaccination"
18;2020-12-12 15:27:42;.@Pfizer will rake in billions from its expensive #CovidVaccine but @AlbertBourla refuses to cut the price for lowe… https://t.co/eC94w3TUl0;"Vaccination"
79;2020-12-14 19:52:00;How the #PfizerBioNTech Vaccine Works? This article made a detailed explanation.👇 https://t.co/srgcHyBLk4  #COVID19… https://t.co/t1nIsSQtTr;"Vaccination"
0;2020-12-20 06:06:44;Same folks said daikon paste could treat a cytokine storm #PfizerBioNTech https://t.co/xeHhIMg1kF;"Vaccination"
51;2020-12-14 23:48:04;I’ve never been so excited to get a vaccine 💉💉💉  #CovidVaccine #PfizerBioNTech #VaccinesSaveLives #VaccinesWork https://t.co/tCylgwmUO3;"Vaccination"
