;date;text;news
;5:44 PM · Sep 3, 2024;"Il killer di #SharonVerzeni alla grigliata dopo l'omicidio" A #Pomeriggio5 parla l'amico di Moussa Sangare;"Omicidio Sharon Verzeni"
;8:56 PM · Sep 1, 2024;"Salvini ha denunciato l'omicida di #SharonVerzeni perché era straniero ma non ha fatto lo stesso per il 17enne che ha ucciso la sua famiglia a Paderno Dugnano";"Omicidio Sharon Verzeni"
;8:54 AM · Sep 4, 2024;L'omicidio di #SharonVerzeni. Sono stati identificati i due ragazzini minacciati da #MoussaSangare poco prima di uccidere la donna. Uno dei due è stato già sentito dai carabinieri;"Omicidio Sharon Verzeni"
;2:35 PM · Sep 9, 2024;Ma siamo sicuri che sia stato #Moussa ad ammazzare #SharonVerzeni? Ne siete così certi? Aspettiamo i processi, perché secondo me sto ragazzo era in cerca di visibilità e ne sta avendo tanta, ma poi si dovrà essere sicuri che sia lui l'assassino.;"Omicidio Sharon Verzeni"
;9:52 AM · Sep 17, 2024;Si, e non è difficile capirlo perchè Falcone e Borsellino avrebbero indagato la #OpenArms non #Salvini.;"Processo Salvini"
;9:32 AM · Sep 17, 2024;Io comunque in galera ci manderei quel comandante della #OpenArms che rifiutando di andare in Spgna o a Malta..ha dimostrato di essere lui il vero sequestratore..perchè infatti è stato lui a voler tenere i migranti fermi 19 giorni.;"Processo Salvini"
;9:30 AM · Sep 17, 2024;Gli errori e le omissioni nella “arringa social” di Matteo #Salvini sul caso #OpenArms. Cosa ha detto Matteo Salvini nel suo video e cosa c’è scritto nella requisitoria della Procura di Palermo;"Processo Salvini"
;9:25 AM · Sep 17, 2024;Meloni interviene pubblicamente sul processo di Salvini e confonde il potere esecutivo con quello giudiziario, snobbando il diritto internazionale.Delirio di onnipotenza ne abbiamo?#17settembre #Ilvocio #Meloni #OpenArms #Salvini #Processo;"Processo Salvini"
;9:22 AM · Sep 17, 2024;Open Arms, Salvini non si presenta in aula, poi commenta: "C’è una parte della giustizia politicizzata, ci sono magistrati e Pm che fanno politica". Chi vi ricorda? E perché proprio quel tizio dell'uveite? #Salvini_in_Galera #OpenArms #17settembre #migranti #Salvini #Governo;"Processo Salvini"
;9:00 AM · Sep 17, 2024;Processo #OpenArms.  #Salvini “Non patteggio, è un processo politico”. Il leader della #Lega riunisce il consiglio federale: a #Pontida il 6 ottobre, manifestazione per la difesa dei confini. Le #opposizioni “Cosí si delegittima la magistratura”.Il punto di Lucio Bondí;"Processo Salvini"
;8:58 AM · Sep 17, 2024;Per collocare temporalmente e politicamente il caso #OpenArms, per cui è a processo #Salvini, potete utilizzare la cronologia che sto costruendo. L'estate 2019 già c'è! PS se manca qualche evento che ritenete importante, segnalatemelo, così lo aggiungo.;"Processo Salvini"
;8:53 AM · Sep 17, 2024;Sul processo a #salvini per il caso #openarms tutto uno schierarsi (ben oltre i limiti istituzionali e politici in attesa di sentenze)..Un po' di attenzione alla #egemonia tramite il tema dei #migranti e degli #stranieri, e alle modalità di tenuta delle destre non guasta.;"Processo Salvini"
;8:48 AM · Sep 17, 2024;Farebbe ridere 🤣se non si trattasse delle condizioni esistenziali di altri esseri umani, considerare, come dichiara #Salvini, il blocco dei #migranti sulla #OpenArms, come DIFESA DEI CONFINI come se si trattasse di una minaccia esterna ostile ed armata.;"Processo Salvini"
;8:47 AM · Sep 17, 2024;Si può essere d’accordo o meno sui Decreti #Sicurezza dell’allora Ministro dell’Interno #Salvini: quello che però è gravissimo è la pretesa delle toghe di sentenziare sulla linea #politica di un #Governo#OpenArms;"Processo Salvini"
;3:35 PM · Sep 16, 2024;I Pm di Palermo hanno chiesto una condanna a 6 anni per Salvini per aver impedito, 5 anni fa quand'era ministro dell'Interno, lo sbarco a Lampedusa di 147 migranti e averli sequestrati a bordo della Open Arms. Non fu l'unica volta: anche nel 2018, Salvini ordinò di non far scendere i migranti a bordo della Diciotti al porto di Catania. La scelta si trasformò in un caso politico-giudiziario, usato dal governo per aprire una trattativa sulla redistribuzione dei migranti con l’Europa. Ce n'eravamo occupati qui👇;"Processo Salvini"
;8:26 AM · Sep 17, 2024;Gli ignoranti sostengono che il processo a #Salvini sia un processo politico contro il governo Conte I. FALSO! Il Governo Conte I mollò Salvini durante il sequestro di #OpenArms.;"Processo Salvini"
;8:17 AM · Sep 17, 2024;#OpenArms poteva scegliere un porto nel Mediterraneo...nessuno è stato sequestrato, il fatto che si chiedano 6 anni di galera per un Ministro della Repubblica è la prova che il processo sia solo politico. #Salvini;"Processo Salvini"
;7:18 AM · Sep 17, 2024;Caso #OpenArms, è scontro tra maggioranza e opposizione sugli attacchi alla #magistratura. #Salvini: “Non patteggio. Arrivo fino in #Cassazione” |;"Processo Salvini"
;7:15 AM · Sep 17, 2024;I #giudici chiedono 6 anni di carcere per un ministro che ha ritardato lo sbarco di #clandestini che non avevano diritto, ma solo la pretesa, di sbarcare e poi altri giudici rimettono in libertà questi tizi... ma non è un processo politico #OpenArms;"Processo Salvini"
;7:00 AM · Sep 17, 2024;#OpenArms ha rifiutato tre porti sicuri: #Tunisia, #Malta e #Spagna, hanno voluto a tutti i costi far sbarcare i clandestini in #Italia.Quando sono stati bloccati sono stati fatti sbarcare donne e bambini, non c'era nessun motivo che #OpenArms stesse in #Italia.;"Processo Salvini"
;10:25 AM · Sep 15, 2024;Lasciare in mare 147 persone tra le quali 33 minori non è difendere i confini se poi ne fate entrare decine di migliaia senza trovare una soluzione adeguata. #SalviniPagliaccio #15Settembre #OpenArms #Palermo #Salvini  #immigrazione #governo;"Processo Salvini"
;11:41 AM · Sep 16, 2024;Ha violato la legge consapevolmente perché doveva fare l'influencer  ignorando i procedimenti del Tar è partita una procedura d'ufficio come a norma di legge ovviamente ma è la sinistra che gli fa il processo politico.È tutto molto tragicamente distopico. #salvini #OpenArms;"Processo Salvini"
;12:07 AM · Sep 15, 2024;Non ho votato #Salvini, non voterei Salvini e non voterò Salvini. Ma mandarlo in carcere per aver difeso i confini e aver mantenuto un impegno elettorale è una porcata abnorme. Un grazie a #ElonMusk per questo tweet. #15Settembre #OpenArms;"Processo Salvini"
;8:44 AM · Sep 15, 2024;Processo #OpenArms, chiesti 6 anni di carcere per #Salvini. "E' incredibile che un ministro della Repubblica rischi 6 anni di carcere per aver fatto il suo lavoro", il commento di @GiorgiaMelonialla richiesta del pubblico ministero;"Processo Salvini"
;11:06 PM · Sep 15, 2024;E niente ragazzi. C’era il Monza con un pallone solo da spingere in gol all’ultimo secondo, e c’era in tribuna la #MarottaLeague … giuoco fermo, ovviamente.È il prosieguo della scorsa stagione!!#monzainter;"Monza-Inter"
;6:03 AM · Sep 17, 2024;Riguardo #MonzaInter io non so se l'Inter-Nazionale ha segnato con gol viziato da fuorigioco o se Pessina avrebbe poi finalizzato il vantaggio.Però l'arbitro era tale #Pairetto, figlio di, fratello di..;"Monza-Inter"
;10:45 AM · Sep 16, 2024;È grave, è gravissimo come sarà gravissimo che anche questa volta taceranno tutti. #MarottaLeague #inter #monza #MonzaInter #SerieA #SerieAEnilive;"Monza-Inter"
;11:52 AM · Sep 16, 2024;👀 #MonzaInter - Il fischio anticipato di #Pairetto ha un precedente (più grave) nella stessa gara di due stagioni fa con #Sacchi che annullò un gol ad #Acerbi. L'arbitro di Macerata fu fermato due mesi, il collega di Nichelino riceverà lo stesso trattamento? @calciomercatoit;"Monza-Inter"
;10:24 AM · Jan 14, 2024;Bellissimo gesto di Lautaro che a fine gara va subito a consolare il portiere avversario 👏#MonzaInter;"Monza-Inter"
;9:16 AM · Sep 16, 2024;Sul gol di #Dumfries fuorigioco (ATTIVO) di #Arnautovic che cerca anche di colpire la palla (ad altre squadre li annullano per MOOOOOLTO MENO). #Pessina va in porta SE si applicasse la regola del vantaggio, ma #Pairetto associato alla #MarottaLeague fischia in tempo. #MonzaInter;"Monza-Inter"
;12:06 PM · Sep 16, 2024;Il fuorigioco è un concetto di cui sappiamo spaventosamente poco #MonzaInter #MarottaLeague;"Monza-Inter"
;10:31 PM · Sep 15, 2024;Arriva subito il pareggio dell'#Inter con #Dumfries. Finale scoppiettante #MonzaInter;"Monza-Inter"
;10:53 PM · Sep 15, 2024;Minuto 92.58 contropiede Monza, 4 vs 3, Pavard abbatte l'avversario. Fallo e zero gialli!!. 40 secondi dopo, Airoldi interrompe una chiara occasione da gol per fischiare il fallo e dare giallo 🟨 a Pavard per altro fallo al limite dell'area. Giudicate voi  🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️ #monzainter;"Monza-Inter"
;4:00 PM · Sep 16, 2024;Qual'è la differenza? Uno ininfluente e l'altro invece fa annullare il gol. Vediamo la favoletta che vi inventate. È cambiato il regolamento? #Rocchi @DAZN_IT #MonzaInter #MarottaLeague #Pairetto @SerieA#dazn #Gravina #vergogna @tvdellosport;"Monza-Inter"
;4:51 PM · Sep 16, 2024;Gli ultimi 5’ più squallidi della storia del calcio. -Gol in fuorigioco Mancato vantaggio Lo schifo #MonzaInter;"Monza-Inter"
;4:31 PM · Jan 15, 2024;Lo strano arbitraggio di #MonzaInter Fosse capitato con la #Juventus, cosa avrebbero detto gli interisti?;"Monza-Inter"
;8:05 AM · Sep 16, 2024;#MonzaInter. Ho letto analisi folli e pagelle da Caporetto. Mentre la prestazione di ieri dell'Inter - non scintillante - doveva e poteva bastare a vincere la partita. I numeri lo confermano. Se non è accaduto, è stato per scarso cinismo e per la poca ferocia sul gol di Mota.;"Monza-Inter"
;10:29 PM · Sep 15, 2024;#DanyMota sblocca clamorosamente la partita in favore del #Monza con un colpo di testa sontuoso su bel cross di Izzo. #MonzaInter;"Monza-Inter"
;1:27 PM · Sep 16, 2024;Vedere #Asllani in campo, senza nessun straccio di idea calcistica, giocare in orizzontale, sbagliare ogni cambio di gioco, ti fa venir voglia di prenderlo a calci nel culo, e sperare che a #Calhanoglu non venga mai un raffreddore.MonzaInter;"Monza-Inter"
;12:19 PM · Sep 16, 2024;Gli interisti stanno già ispezionando ogni frame e segnandosi ogni carezza non fischiata contro agli altri per “pareggiare i conti” #MonzaInter #MarottaLeague;"Monza-Inter"
;10:37 AM · Sep 16, 2024;Fuorigioco attivo! Gol da annullare ma nella #marottaleague l’Inter è immune! #MonzaInter;"Monza-Inter"
;10:56 PM · Sep 15, 2024;#MonzaInter | Grave errore di #Pairetto che fischia un fallo ai padroni di casa non concedendo un vantaggio plateale, che avrebbe permesso a #Pessina di trovarsi a tu per tu con #Sommer;"Monza-Inter"
;10:50 PM · Sep 15, 2024;👀 #MonzaInter - Nel finale trattenuta reciproca tra #Bondo e #Dumfries: per l'arbitro #Pairetto è il nerazzurro a fare fallo e quindi niente rigore. Il #Var avalla la decisione di campo @calciomercatoit;"Monza-Inter"
;10:46 PM · Sep 15, 2024;#Monzainter #MarottaLeague cioè, il Monza sta per segnare con un calciatore solo davanti al portiere e l'arbitro che fa? Appena vede il pericolo interrompe l'azione... Mi sa che quest'anno il campionato cambierà ben poco.;"Monza-Inter"
;6:52 PM · Sep 16, 2024;buon inizio edizione con la triste consapevolezza che non avremo mai più un personaggio del genere #Grandefratello;"Inizio GrandeFratello"
;9:44 PM · Sep 16, 2024;Io che mi ero ripromesso di non vedere questa edizione e invece eccomi qui  #grandefratello;"Inizio GrandeFratello"
;10:13 PM · Sep 16, 2024;questo grande fratello sta iniziando a grandefratellare nel momento in cui è entrata la riccia rossa bastardissima #grandefratello;"Inizio GrandeFratello"
;9:40 PM · Sep 16, 2024;Ogni anno mi dico di non guardarlo più ma puntualmente sono qui #GrandeFratello;"Inizio GrandeFratello"
;9:58 PM · Sep 16, 2024;LINO GIULIANO SERIAMENTE SQUALIFICATO PRIMA DI ENTRARE LUI HA SERIAMENTE SUPERATO IL RECORD DI RICCARDO FOGLI #grandefratello;"Inizio GrandeFratello"
;10:11 PM · Sep 16, 2024;nuova edizione, stesso video. perché io sarò sempre qui a ricordarci dove siamo stati veramente felici. #GrandeFratello;"Inizio GrandeFratello"
;9:40 PM · Sep 16, 2024;Reputo il Grande Fratello un programma, ormai, di merda che supera ogni principio di etica e morale ? ASSOLUTAMENTE SI. Lo guarderò lo stesso ? Si. Perché i “coglioni vanno inculati”#GrandeFratello;"Inizio GrandeFratello"
;10:03 PM · Sep 16, 2024;“quest’anno non guarderò nessun  programma” sempre io: #grandefratello;"Inizio GrandeFratello"
;11:10 PM · Sep 16, 2024;ogni anno è una versione del Man diversa #grandefratello;"Inizio GrandeFratello"
;9:08 AM · Sep 17, 2024;il modo in cui sta rosicando di brutto perché tutti la davano per lanciata durante la sua edizione e poi non ha fatto nulla, mentre bea è stata la prima ad aver brillato e aver ottenuto un ruolo di punta e ora viene accusata di vittimismo #grandefratello;"Inizio GrandeFratello"
;9:41 AM · Sep 17, 2024;#GrandeFratello La faccia di un uomo che già si è rotto le palle e sta già meditando tutte le scuse e i "mali" quotidiani possibili ed immaginabili⚰️;"Inizio GrandeFratello"
;1:49 AM · Sep 17, 2024;PUNTATA 1: la Casa (rivoluzionata) accoglie 14 concorrenti, Jessica si prende la scena mentre Luzzi e Buonamici non si guardano nemmeno in faccia. #GrandeFratello;"Inizio GrandeFratello"
;10:35 PM · Sep 16, 2024;se sposano fanno i figli, ora ci sono anche io qua dentro vediamo che succede” JESSICA GIÀ LA PIÙ DIVERTENTE #grandefratello;"Inizio GrandeFratello"
;10:01 PM · Sep 16, 2024;Io che risorgo su questo social per commentare il #GrandeFratello;"Inizio GrandeFratello"
;10:19 PM · Sep 16, 2024;Clarissa che ci spoilera la fine del programma (marzo )alla prima puntata  #grandefratello;"Inizio GrandeFratello"
;11:46 PM · Sep 16, 2024;Si ride e si scherza, ma quest’uomo è davvero nella storia della tv. 😍 #grandefratello;"Inizio GrandeFratello"
;2:37 AM · Sep 17, 2024;Il programma è appena iniziato e già ci sono gruppi telegram, persone che shippano, video meme sul nulla, finalmente siamo tornati a casa  #grandefratello;"Inizio GrandeFratello"
;11:54 PM · Sep 16, 2024;ogni anno devo ribadire questo concetto: non ci sarà mai più un concorrente come tommaso zorzi. eravamo ricchi 4 anni fa. #GrandeFratello;"Inizio GrandeFratello"
;10:33 AM · Sep 17, 2024;I funerali al #GrandeFratello già dopo la 1ª puntata mi sembrano esagerati si sa che il programma parte sempre un po’ debole Il GFvip 5 ad esempio detiene la 3ª peggiore premiere di sempre e la più bassa di share… eppure alla fine fece super #AscoltiTV;"Inizio GrandeFratello"
;10:27 AM · Sep 17, 2024;E fisiologico il calo del GF se vedete e da 10 anni che scende e normale ma il 21% e ottimo e Mediaset vuole una media del 18% quindi sono in salita #GrandeFratello;"Inizio GrandeFratello"
